평점,판매자,구매자,날짜,제목,본문,이미지URL
5,SK하이닉스공식대리점 도우,ujp6****,2023-05-30,빠르게 잘 받았습니다.감사합니다!,"빠르게 잘 받았습니다.
감사합니다!",['https://phinf.pstatic.net/checkout/20230530_20/1685436197172cDg6B_JPEG/KakaoTalk_20230530_174306358.jpg']
5,SK하이닉스공식대리점 도우,kasi****,2023-05-30,배송 빠르고 하드 속도도 빠르고 작고 가볍고.....,배송 빠르고 하드 속도도 빠르고 작고 가볍고.....,[]
5,SK하이닉스공식대리점 도우,hezr****,2023-05-29,"유튜브보다 구입하게 되었네요. 크기도 콤팩트해서 휴대하기 좋고, 속도도 빨라서 휴대용 저장장치로는 아주 딱이네요. 앞으로 2TB도 출시되었으면 좋겠어요.","유튜브보다 구입하게 되었네요. 크기도 콤팩트해서 휴대하기 좋고, 속도도 빨라서 휴대용 저장장치로는 아주 딱이네요. 앞으로 2TB도 출시되었으면 좋겠어요.",['https://phinf.pstatic.net/checkout/20230529_137/1685337830227RFvao_JPEG/20230528_192922.jpg']
5,SK하이닉스공식대리점 도우,only****,2023-05-29,아주 퍼펙트한 제품입니다다만 보호용으로 주신 투명 케이스가 아다리가 좀 안 맞네요제품 자체는 아주 굿,"아주 퍼펙트한 제품입니다
다만 보호용으로 주신 투명 케이스가 아다리가 좀 안 맞네요
제품 자체는 아주 굿",[]
5,SK하이닉스공식대리점 도우,plan****,2023-05-29,배송빠르고 색상도 이쁘고 좋아요,배송빠르고 색상도 이쁘고 좋아요,['https://phinf.pstatic.net/checkout/20230529_65/16853263056237U9pc_JPEG/20230526_114630.jpg']
5,SK하이닉스공식대리점 도우,pj00****,2023-05-28,"사이즈가 정말 작고, 여느 다른 외장하드보다 속도도 빠르네요.용량이 1TB보다 더 큰게 있으면하는 바램이네요.","사이즈가 정말 작고, 여느 다른 외장하드보다 속도도 빠르네요.
용량이 1TB보다 더 큰게 있으면하는 바램이네요.",[]
5,SK하이닉스공식대리점 도우,sswo****,2023-05-28,완전 대만족이요! 제품은 물론 배송도 너무 빨라요!,완전 대만족이요! 제품은 물론 배송도 너무 빨라요!,[]
5,SK하이닉스공식대리점 도우,skie****,2023-05-28,아주 만족하고 좋아요 최곱니다,아주 만족하고 좋아요 최곱니다,[]
5,SK하이닉스공식대리점 도우,chan****,2023-05-28,배송 엄청 빠릅니다.마침 필요했는데 유튜브보고 바로 질렀습니다.,"배송 엄청 빠릅니다.
마침 필요했는데 유튜브보고 바로 질렀습니다.",['https://phinf.pstatic.net/checkout/20230528_162/1685252498020C27qh_JPEG/20230527_124556.jpg']
5,SK하이닉스공식대리점 도우,s-ho****,2023-05-28,잘받았습니다 좋은제품 싸게 구매했어요~^^감사합니다 ~^^ 좋은하루되세요 ~~,"잘받았습니다
좋은제품 싸게 구매했어요~^^
감사합니다 ~^^
좋은하루되세요 ~~",['https://phinf.pstatic.net/checkout/20230528_289/1685267274745k8Msg_JPEG/20230528_184651.jpg']
